Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,7.05,7.3,6.8,7.3,7.3,26040
1/5/2010,7.35,8.25,7.25,8.1,8.1,83420
1/6/2010,8.35,9.6,8.1,9.6,9.6,84640
1/7/2010,10.35,11.5,9.4,10.5,10.5,165940
1/8/2010,10.85,11.5,10.35,11.25,11.25,81380
1/11/2010,11.75,12.15,10.15,10.2,10.2,126840
1/12/2010,9.95,11.1,9,10.85,10.85,140120
1/13/2010,11.25,11.8,10.4,10.6,10.6,62460
1/14/2010,10.75,11.15,10.2,10.45,10.45,40260
1/15/2010,10.6,10.7,9.9,10.25,10.25,46860
1/19/2010,9.85,10.25,9.8,10,10,38180
1/20/2010,9.95,10.05,9.65,10,10,39120
1/21/2010,9.95,10.3,9.6,9.6,9.6,40340
1/22/2010,9.6,9.85,9.35,9.7,9.7,29720
1/25/2010,9.65,9.8,8.25,9.65,9.65,23580
1/26/2010,9.5,9.7,8.95,9.3,9.3,68580
1/27/2010,9.05,9.25,7.55,8.2,8.2,136920
1/28/2010,8.2,8.3,7.75,8,8,49220
1/29/2010,7.65,8,7.05,7.25,7.25,77420
2/1/2010,7.05,8.25,7,8.1,8.1,59760
2/2/2010,8.4,9.3,8.1,9.15,9.15,48340
2/3/2010,9.25,9.45,8.4,8.65,8.65,37620
2/4/2010,8.4,8.6,7.75,7.85,7.85,58140
2/5/2010,7.5,8.05,7.05,7.85,7.85,43700
2/8/2010,8.1,8.65,8.05,8.3,8.3,36580
2/9/2010,8.45,8.75,8.1,8.25,8.25,23660
2/10/2010,8.4,8.5,8.05,8.1,8.1,14400
2/11/2010,8.4,8.55,7.95,8.35,8.35,18680
2/12/2010,8.2,8.5,7.95,8.1,8.1,17700
2/16/2010,8.4,8.4,7.35,7.55,7.55,51220
2/17/2010,7.6,7.7,6.8,6.9,6.9,63440
2/18/2010,6.9,7,6.35,6.45,6.45,70280
2/19/2010,6.6,7.05,6.45,7,7,44400
2/22/2010,7.5,7.75,6.9,7,7,62320
2/23/2010,7.05,7.15,6.75,6.9,6.9,24900
2/24/2010,6.9,7.45,6.85,7.3,7.3,32720
2/25/2010,7.2,7.3,6.9,7.2,7.2,4700
2/26/2010,7.3,7.45,7.05,7.05,7.05,8980
3/1/2010,7.45,7.45,6.95,6.95,6.95,13100
3/2/2010,7,7.25,6.9,6.95,6.95,24060
3/3/2010,7.1,7.1,6.75,6.75,6.75,23280
3/4/2010,6.75,7.1,6.7,6.95,6.95,12420
3/5/2010,6.9,7.25,6.9,7,7,19380
3/8/2010,7.3,7.3,6.9,7,7,10860
3/9/2010,6.75,7.05,6.75,7,7,9400
3/10/2010,7.15,7.25,7.05,7.2,7.2,13780
3/11/2010,7.2,7.3,7,7,7,20780
3/12/2010,7,7.25,6.9,7.05,7.05,27440
