Date,Open,High,Low,Close,Adj Close,Volume
11/12/2018,18.66,19.23,17.860001,18.35,18.35,1247800
11/13/2018,18.23,18.469999,17.559999,17.860001,17.860001,1211800
11/14/2018,17.709999,18.6,17.5,18.6,18.6,922900
11/15/2018,18.41,19.030001,18.26,18.76,18.76,1041000
11/16/2018,18.66,18.700001,17.940001,17.959999,17.959999,700200
11/19/2018,17.860001,18,16.200001,17.379999,17.379999,1080300
11/20/2018,17.030001,17.700001,16.1,16.82,16.82,569800
11/21/2018,16.9,17.27,16.1,16.66,16.66,868500
11/23/2018,16.65,17.629999,16.549999,17.139999,17.139999,247800
11/26/2018,17.16,17.879999,17.16,17.799999,17.799999,633400
11/27/2018,17.780001,18,17,17.629999,17.629999,957600
11/28/2018,17.690001,18.379999,17.389999,18.17,18.17,1524200
11/29/2018,18.4,19.35,18.200001,19,19,2142200
11/30/2018,19.129999,19.9,18.360001,18.440001,18.440001,1083000
12/3/2018,18.889999,19.85,18.82,19.17,19.17,2373400
12/4/2018,19.200001,19.200001,17.51,17.59,17.59,1526700
12/6/2018,17.25,17.5,16.459999,17.26,17.26,1481400
12/7/2018,17.26,17.870001,16.440001,16.799999,16.799999,943100
12/10/2018,16.83,16.98,16.450001,16.66,16.66,700500
12/11/2018,17,17.219999,16.110001,16.190001,16.190001,461300
12/12/2018,16.41,16.5,16.049999,16.219999,16.219999,1019800
12/13/2018,16.389999,16.700001,16.040001,16.040001,16.040001,1175600
12/14/2018,16,16.16,15.25,15.35,15.35,1410700
12/17/2018,15.33,15.4,14.39,14.59,14.59,1421600
12/18/2018,14.63,14.8,14.37,14.54,14.54,1056300
12/19/2018,14.54,14.99,13.81,14.22,14.22,1413800
12/20/2018,14.09,14.27,12.47,12.85,12.85,2962200
12/21/2018,12.83,13.25,12.72,12.91,12.91,4247600
12/24/2018,12.83,13.09,12.26,12.3,12.3,645400
12/26/2018,12.38,13.06,12.1,13.06,13.06,798900
12/27/2018,12.9,13.6,12.75,13.51,13.51,752000
12/28/2018,13.51,14.16,13.34,14.09,14.09,1211100
12/31/2018,14.14,14.36,13.26,13.8,13.8,1146500
1/2/2019,13.64,14.26,13.5,13.99,13.99,800800
1/3/2019,13.93,13.95,13.29,13.59,13.59,987900
