Date,Open,High,Low,Close,Adj Close,Volume
6/16/2022,37.689999,37.689999,35.84,36.259998,35.145187,13200
6/17/2022,35.099998,36.529999,35.099998,36.529999,35.406887,3300
6/21/2022,33.810001,34.950001,33.810001,34.950001,33.875465,900
6/22/2022,34.044998,34.110001,34.044998,34.110001,33.061291,800
6/23/2022,32.450001,32.450001,32.450001,32.450001,31.452328,300
6/24/2022,32.764,33.848999,32.764,33.48,32.450661,900
6/27/2022,32.709999,33.5,32.709999,33.5,32.470047,5800
6/28/2022,34.305,34.305,33.279999,33.279999,32.256809,400
6/29/2022,33.279999,33.279999,33.279999,33.279999,32.256809,400
6/30/2022,33.5,33.5,33.41,33.41,32.382813,500
7/1/2022,31.6,32.119999,31.6,32.110001,31.122782,1200
7/5/2022,31.049999,31.049999,31.049999,31.049999,30.095369,200
7/6/2022,29.309999,29.309999,28.910999,28.910999,28.022133,7600
7/7/2022,29.74,30.549999,29.74,30.35,29.416893,2600
7/8/2022,32.900002,32.900002,32.900002,32.900002,31.888494,300
7/11/2022,30.940001,30.940001,30.940001,30.940001,29.988752,600
7/12/2022,30.43,30.43,30.43,30.43,29.494432,300
7/13/2022,29.66,29.66,29.66,29.66,28.748104,600
7/14/2022,30.9,30.98,30.9,30.98,30.027523,1300
7/15/2022,28.68,29.67,28.68,29.67,28.757797,700
7/18/2022,29.889999,30.83,29.889999,30.83,29.882133,2200
7/19/2022,30.629999,30.629999,30.629999,30.629999,29.688284,500
7/20/2022,32.040001,32.59,32.040001,32.09,31.103395,6400
7/21/2022,32.09,32.09,32.09,32.09,31.103395,0
7/22/2022,32.889999,32.889999,32.465,32.465,31.466867,300
7/25/2022,32.465,32.465,32.465,32.465,31.466867,0
7/26/2022,34.035,34.035,33.84,33.84,32.799595,600
7/27/2022,34,34.25,34,34.25,33.196987,800
7/28/2022,36.580002,36.580002,36.580002,36.580002,35.455353,200
7/29/2022,38.009998,38.009998,38.009998,38.009998,36.841385,400
8/1/2022,38.439999,38.939999,37.794998,38.939999,37.742794,1900
8/2/2022,37.450001,37.450001,37.450001,37.450001,36.298603,200
8/3/2022,38.02,38.02,38.02,38.02,36.851078,900
8/4/2022,39.360001,39.860001,39.360001,39.860001,38.63451,300
8/5/2022,40.599998,40.599998,40.599998,40.599998,39.351753,200
8/8/2022,40.445,40.445,40.445,40.445,39.201523,200
8/9/2022,41.384998,41.384998,41.384998,41.384998,40.112617,300
8/10/2022,41.384998,41.384998,41.384998,41.384998,40.112617,100
8/11/2022,41.384998,41.384998,41.384998,41.384998,40.112617,100
8/12/2022,41.384998,41.384998,41.384998,41.384998,40.112617,100
