Date,Open,High,Low,Close,Adj Close,Volume
12/10/2018,7.03,7.12,6.74,7.03,7.03,9981000
12/11/2018,7.08,7.2,6.92,7.08,7.08,8095700
12/12/2018,7.2,7.55,7.12,7.54,7.54,16007500
12/13/2018,7.55,7.9,7.26,7.75,7.75,14980900
12/14/2018,7.53,7.89,7.4,7.7,7.7,10773600
12/17/2018,7.63,7.64,6.96,7.03,7.03,18132800
12/18/2018,7.03,7.19,6.84,7.07,7.07,10685800
12/19/2018,7.01,7.15,6.8,6.83,6.83,9299700
12/20/2018,6.82,6.92,6.33,6.52,6.52,12080000
12/21/2018,6.53,6.65,6.06,6.07,6.07,13598300
12/24/2018,6,6.12,5.84,5.92,5.92,8835800
12/26/2018,6.11,6.37,5.96,6.36,6.36,9912300
12/27/2018,6.17,6.45,6.03,6.43,6.43,8531900
12/28/2018,6.5,6.56,6.3,6.47,6.47,7996500
12/31/2018,6.56,6.57,6.21,6.37,6.37,8667400
1/2/2019,6.13,6.24,6,6.2,6.2,8823600
1/3/2019,6.1,6.15,6.02,6.05,6.05,7562900
1/4/2019,6.19,6.4,6.13,6.36,6.36,9405600
1/7/2019,6.41,6.59,6.31,6.5,6.5,9709000
1/8/2019,6.57,6.58,6.17,6.4,6.4,9603800
1/9/2019,6.41,6.69,6.35,6.63,6.63,11489900
1/10/2019,6.63,6.73,6.41,6.66,6.66,11221100
1/11/2019,6.5,6.62,6.48,6.59,6.59,6902300
1/14/2019,6.51,7.15,6.37,6.8,6.8,19454100
1/15/2019,6.85,7.07,6.75,6.82,6.82,12633000
1/16/2019,6.8,6.9,6.68,6.71,6.71,6941200
1/17/2019,6.7,6.88,6.53,6.81,6.81,8508900
1/18/2019,6.89,6.91,6.68,6.71,6.71,9240900
1/22/2019,6.63,6.67,6.51,6.57,6.57,6379600
1/23/2019,6.63,6.79,6.47,6.55,6.55,5686000
1/24/2019,6.47,6.75,6.47,6.58,6.58,5920000
1/25/2019,6.65,6.78,6.6,6.65,6.65,6723600
1/28/2019,6.56,6.68,6.48,6.67,6.67,5111000
1/29/2019,6.68,6.97,6.64,6.94,6.94,14200100
1/30/2019,6.94,7.55,6.92,7.46,7.46,28775000
1/31/2019,7.4,7.89,7.4,7.88,7.88,21233900
2/1/2019,7.85,8.11,7.68,7.9,7.9,20788800
2/4/2019,7.96,7.98,7.74,7.85,7.85,8585300
2/5/2019,7.71,7.96,7.61,7.88,7.88,9029900
2/6/2019,7.95,8.59,7.83,8.4,8.4,33404700
2/7/2019,8.28,8.37,7.8,8.04,8.04,23198200
2/8/2019,8,8,7.28,7.67,7.67,21709300
2/11/2019,7.67,7.77,7.38,7.46,7.46,9750700
2/12/2019,7.35,7.57,7.14,7.44,7.44,13264100
2/13/2019,7.52,7.68,7.39,7.49,7.49,10867800
2/14/2019,7.7,7.78,7.42,7.48,7.48,14728300
2/15/2019,7.55,7.64,7.26,7.41,7.41,15620200
2/19/2019,7.4,7.43,7.21,7.26,7.26,9974700
2/20/2019,7.26,7.77,7.26,7.62,7.62,21495700
2/21/2019,7.7,7.73,7.43,7.64,7.64,8060100
2/22/2019,7.92,8.22,7.75,8.17,8.17,26600400
2/25/2019,9.04,9.09,8.6,9,9,52424200
2/26/2019,9.16,10.64,8.82,9.79,9.79,106022600
2/27/2019,10.15,10.25,9.33,9.85,9.85,53234300
2/28/2019,9.85,9.93,9.46,9.57,9.57,26506000
3/1/2019,9.82,10.2,9.73,10.06,10.06,32409400
3/4/2019,10.32,10.37,9.15,9.78,9.78,43753300
3/5/2019,9.8,10.63,9.7,10.16,10.16,53680800
3/6/2019,8.26,8.72,8,8.01,8.01,73522700
3/7/2019,7.81,7.95,7,7.09,7.09,52469600
3/8/2019,7.02,7.2,6.85,7.06,7.06,32040600
3/11/2019,6.95,6.98,6.55,6.59,6.59,62544500
3/12/2019,6.62,6.64,6.37,6.39,6.39,41616000
3/13/2019,6.32,6.77,6.24,6.53,6.53,41727200
3/14/2019,6.63,6.64,6,6.03,6.03,58983400
3/15/2019,6.12,6.13,5.71,5.71,5.71,85777000
3/18/2019,5.69,5.95,5.44,5.75,5.75,76506100
3/19/2019,5.75,6.03,5.73,5.96,5.96,54509200
3/20/2019,6.02,6.03,5.71,5.85,5.85,39053700
3/21/2019,5.75,5.95,5.74,5.84,5.84,21368900
3/22/2019,5.8,5.87,5.6,5.62,5.62,24956500
3/25/2019,5.62,5.66,5.27,5.35,5.35,38993300
3/26/2019,5.2,5.22,4.9,4.96,4.96,67206300
3/27/2019,5.01,5.19,4.96,4.98,4.98,39753400
3/28/2019,5.04,5.17,4.93,5.01,5.01,29281400
3/29/2019,5.06,5.13,5.03,5.1,5.1,23595900
4/1/2019,5.29,5.4,5.14,5.21,5.21,32404600
4/2/2019,5.43,5.61,5.35,5.39,5.39,55814800
4/3/2019,5.55,5.58,5.23,5.31,5.31,35197400
4/4/2019,5.39,5.5,5.27,5.35,5.35,31696600
