Date,Open,High,Low,Close,Adj Close,Volume
7/11/2016,0.54,0.54,0.54,0.54,0.520056,0
7/12/2016,0.54,0.54,0.54,0.54,0.520056,0
7/13/2016,0.54,0.54,0.54,0.54,0.520056,0
7/14/2016,0.54,0.54,0.54,0.54,0.520056,0
7/15/2016,0.54,0.54,0.54,0.54,0.520056,0
7/18/2016,0.54,0.54,0.54,0.54,0.520056,0
7/19/2016,0.54,0.54,0.54,0.54,0.520056,0
7/20/2016,0.434,0.434,0.434,0.434,0.417971,3800
7/21/2016,0.43,0.43,0.43,0.43,0.414118,0
7/22/2016,0.43,0.43,0.43,0.43,0.414118,0
7/25/2016,0.43,0.43,0.43,0.43,0.414118,0
7/26/2016,0.43,0.43,0.43,0.43,0.414118,0
7/27/2016,0.43,0.43,0.43,0.43,0.414118,0
7/28/2016,0.43,0.43,0.43,0.43,0.414118,0
7/29/2016,0.44,0.44,0.44,0.44,0.423749,1200
8/1/2016,0.455,0.455,0.45,0.454,0.437232,2800
8/2/2016,0.43,0.43,0.43,0.43,0.414118,3500
8/3/2016,0.423,0.43,0.423,0.43,0.414118,8500
8/4/2016,0.426,0.426,0.426,0.426,0.410266,10600
8/5/2016,0.43,0.43,0.43,0.43,0.414118,0
8/8/2016,0.424,0.424,0.424,0.424,0.40834,1000
8/9/2016,0.42,0.42,0.42,0.42,0.404488,0
8/10/2016,0.424,0.424,0.424,0.424,0.40834,5000
8/11/2016,0.42,0.42,0.42,0.42,0.404488,0
8/12/2016,0.42,0.42,0.42,0.42,0.404488,0
8/15/2016,0.42,0.42,0.42,0.42,0.404488,0
8/16/2016,0.42,0.42,0.42,0.42,0.404488,0
8/17/2016,0.42,0.42,0.42,0.42,0.404488,0
8/18/2016,0.44,0.44,0.44,0.44,0.423749,4000
8/19/2016,0.44,0.44,0.44,0.44,0.423749,0
8/22/2016,0.43,0.43,0.43,0.43,0.414118,5900
8/23/2016,0.413,0.413,0.413,0.413,0.397746,5900
8/24/2016,0.41,0.41,0.41,0.41,0.394857,0
8/25/2016,0.41,0.41,0.41,0.41,0.394857,0
8/26/2016,0.41,0.41,0.41,0.41,0.394857,0
8/29/2016,0.41,0.41,0.41,0.41,0.394857,0
8/30/2016,0.41,0.41,0.41,0.41,0.394857,0
8/31/2016,0.42,0.42,0.42,0.42,0.404488,2400
9/1/2016,0.42,0.42,0.42,0.42,0.404488,0
9/2/2016,0.42,0.42,0.42,0.42,0.404488,0
9/6/2016,0.42,0.44,0.42,0.44,0.423749,15400
9/7/2016,0.39,0.43,0.39,0.43,0.414118,25500
9/8/2016,0.43,0.43,0.43,0.43,0.414118,0
9/9/2016,0.42,0.42,0.42,0.42,0.404488,14500
9/12/2016,0.4,0.4,0.4,0.4,0.385226,800
9/13/2016,0.4,0.4,0.4,0.4,0.385226,0
9/14/2016,0.42,0.44,0.42,0.44,0.423749,16600
9/15/2016,0.43,0.43,0.43,0.43,0.414118,5800
