Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,16060,16180,16000,16180,12571.50879,11950800
1/5/2010,16520,16580,16300,16440,12773.52539,27925850
1/6/2010,16580,16820,16520,16820,13068.77246,22948850
1/7/2010,16820,16820,16260,16260,12633.66992,22107950
1/8/2010,16400,16420,16120,16420,12757.98438,14777550
1/11/2010,16420,16460,15940,15940,12385.03418,19896100
1/12/2010,15940,16180,15900,16180,12571.50879,19218050
1/13/2010,16100,16120,15940,15940,12385.03418,13375300
1/14/2010,16120,16620,16000,16540,12851.22266,26551550
1/15/2010,16640,16860,16580,16840,13084.31348,19905600
1/18/2010,16800,16920,16560,16860,13099.85449,13060400
1/19/2010,17000,17000,16440,16460,12789.05859,12041250
1/20/2010,16460,16740,16460,16680,12959.99707,19200850
1/21/2010,16400,17000,16400,17000,13208.62988,16990100
1/22/2010,16800,16900,16360,16500,12820.14063,23460500
1/25/2010,16320,16960,16300,16840,13084.31348,20578400
1/26/2010,16920,16920,16240,16300,12664.74512,18722300
1/27/2010,16300,16340,16000,16000,12431.65137,18516150
1/28/2010,16160,16300,16060,16160,12555.96973,13795800
1/29/2010,16000,16020,15600,15680,12183.01953,22854100
2/1/2010,15680,15700,15300,15540,12074.24414,25037200
2/2/2010,15800,15800,15400,15440,11996.54297,19677150
2/3/2010,15640,15700,15360,15540,12074.24414,16467700
2/4/2010,15500,15660,15440,15520,12058.7041,11971700
2/5/2010,15160,15220,14940,15000,11654.67188,25705750
2/8/2010,14940,15080,14820,14960,11623.59473,21891500
2/9/2010,14960,15220,14840,15220,11825.61035,16834200
2/10/2010,15260,15280,15040,15100,11732.37109,13174200
2/11/2010,15140,15300,15120,15260,11856.68848,13208300
2/12/2010,15340,15340,14900,15000,11654.67188,22879300
2/16/2010,15000,15180,14960,15120,11747.91211,7723550
2/17/2010,15440,15580,15280,15580,12105.32324,13997150
2/18/2010,15580,15620,15440,15500,12043.16309,7251900
2/19/2010,15380,15540,15180,15200,11810.06934,11094000
2/22/2010,15440,15560,15400,15460,12012.08496,11580550
2/23/2010,15480,15480,15120,15340,11918.84473,12568850
2/24/2010,15180,15220,15000,15040,11685.75391,15052500
2/25/2010,15080,15160,14680,14720,11437.12012,19273900
2/26/2010,14800,14960,14660,14880,11561.43457,15576350
3/2/2010,15220,15480,15120,15400,11965.46582,23494700
3/3/2010,15420,15460,15260,15420,11981.00391,9713550
3/4/2010,15420,15440,15120,15220,11825.61035,10205050
3/5/2010,15260,15500,15260,15500,12043.16309,11754700
3/8/2010,15800,15840,15700,15720,12214.09668,19563300
3/9/2010,15740,15740,15540,15720,12214.09668,12211750
3/10/2010,15720,15740,15560,15680,12183.01953,11367600
3/11/2010,15800,15880,15560,15560,12089.78125,19631000
3/12/2010,15560,15680,15420,15560,12089.78125,9997950
3/15/2010,15640,15660,15280,15360,11934.38672,11156550
3/16/2010,15360,15400,15160,15300,11887.76563,16548150
3/17/2010,15440,15960,15420,15960,12400.57227,21840650
3/18/2010,15900,16140,15900,15940,12385.03418,15393500
3/19/2010,16020,16140,15960,16080,12493.81152,10711200
3/22/2010,16060,16080,15840,16020,12447.19238,9191800
3/23/2010,16140,16300,16100,16180,12571.50879,9923300
3/24/2010,16300,16500,16260,16380,12726.90332,15926950
3/25/2010,16300,16440,16180,16380,12726.90332,9481650
3/26/2010,16460,16500,16240,16400,12742.44531,10481650
3/29/2010,16200,16500,16200,16360,12711.36328,7756350
3/30/2010,16540,16580,16240,16280,12649.20606,12042400
3/31/2010,16280,16680,16260,16360,12711.36328,21699800
4/1/2010,16520,16900,16480,16900,13130.93164,28068050
4/2/2010,16920,17200,16820,17140,13317.40723,20907050
4/5/2010,17220,17400,17140,17400,13519.42285,15201700
4/6/2010,17480,17500,17220,17380,13503.88574,16494250
4/7/2010,17300,17380,17040,17180,13348.48633,19418550
4/8/2010,17140,17260,17060,17260,13410.64941,13447700
4/9/2010,17280,17320,16960,17120,13301.86914,13757650
4/12/2010,17180,17200,16540,16600,12897.84082,24897000
4/13/2010,16680,16680,16300,16560,12866.76074,20446350
4/14/2010,16700,16940,16660,16900,13130.93164,15369350
4/15/2010,17240,17240,16880,17100,13286.3291,18248400
4/16/2010,17100,17160,16820,16960,13177.55078,11003100
4/19/2010,16740,16800,16520,16540,12851.22266,12357100
4/20/2010,16540,16640,16420,16560,12866.76074,13571500
4/21/2010,16760,17060,16700,17040,13239.70996,13200200
4/22/2010,16980,16980,16660,16820,13068.77246,17161750
4/23/2010,16960,16960,16560,16600,12897.84082,15442000
4/26/2010,16700,16840,16600,16680,12959.99707,13009350
4/27/2010,16620,16760,16540,16700,12975.53613,13040500
4/28/2010,16400,16500,16360,16500,12820.14063,16007500
